Nº_envolvido,condutor,cod_severidade,sexo,cinto_seguranca,Embreagues,Idade,categoria_habilitacao,especie_veiculo,pedestre,passageiro,turno
2,1,1,1,1,0,54,7,3,0,0,1
1,1,1,1,1,0,20,0,3,0,0,2
2,0,1,1,0,2,0,0,6,1,2,2
1,1,3,1,1,0,27,0,7,0,0,1
2,1,1,2,1,0,51,0,1,0,0,1
1,1,3,1,1,0,32,9,1,0,0,1
2,1,1,1,1,0,42,3,3,0,0,1
1,1,1,1,1,0,36,2,3,0,0,1
2,1,3,1,1,0,57,6,1,0,0,1
1,1,3,1,1,0,31,4,1,0,0,1
2,1,3,1,1,0,34,4,1,0,0,1
3,0,1,2,1,0,37,0,1,0,1,1
1,1,3,2,1,0,44,4,1,0,0,1
2,1,1,1,0,0,58,1,0,0,0,1
1,1,1,1,1,0,21,3,3,0,0,1
2,1,3,1,1,0,45,9,1,0,0,1
1,1,1,1,1,0,38,0,3,0,0,2
5,1,3,2,1,0,38,0,1,0,0,2
6,1,3,1,1,0,37,2,1,0,0,2
1,1,3,1,1,0,29,4,1,0,0,1
2,1,3,1,1,0,37,7,1,0,0,1
3,0,1,2,1,0,0,0,1,0,1,1
1,1,1,1,1,0,49,7,3,0,0,2
2,0,2,1,0,0,76,0,6,1,0,2
1,1,1,1,1,0,27,4,1,0,0,2
2,0,1,1,1,0,59,0,1,0,1,2
3,1,3,1,1,0,49,0,8,0,0,2
1,1,3,1,1,0,31,6,5,0,0,0
3,0,0,1,1,0,26,0,1,0,1,1
4,1,3,2,1,0,35,0,1,0,0,1
5,1,3,1,1,0,28,4,1,0,0,1
1,1,1,2,1,0,39,4,3,0,0,1
2,1,3,2,1,0,39,7,1,0,0,1
1,1,1,1,1,0,50,0,3,0,0,1
2,1,3,1,1,0,46,0,1,0,0,1
1,1,3,1,1,0,43,4,1,0,0,1
2,1,1,1,1,0,70,4,1,0,0,1
3,1,3,1,1,0,45,12,1,0,0,1
1,1,3,1,1,0,19,4,1,0,0,1
2,1,1,1,1,0,21,6,3,0,0,1
3,0,1,2,1,0,24,0,3,0,1,1
5,1,3,1,1,0,53,0,6,0,0,1
1,1,3,1,1,0,50,10,2,0,0,1
2,0,1,2,0,0,28,0,6,1,0,1
1,1,3,1,1,0,51,0,1,0,0,1
2,1,3,1,1,0,58,0,1,0,0,1
3,1,3,1,1,0,30,0,5,0,0,1
4,1,1,2,0,2,0,0,4,2,2,1
1,1,1,1,1,0,28,6,3,0,0,1
